customer_id,full_name,email,phone,date_of_birth,kyc_status,account_status,risk_score,account_age_days,country,city,state,pin_code,income_band,device_fingerprint,registered_devices,preferred_payment,typical_transaction_amount,typical_merchant_categories,is_politically_exposed,account_open_date,last_login_date,failed_login_count,is_synthetic_fraud_customer,fraud_type
CUST_04425A15,Lagan Gade,terrellandrew@example.com,+918536146025,1982-05-01,VERIFIED,ACTIVE,0.0845086499582301,52,IN,Hyderabad,Telangana,629903,LOW,aefbb9b8-5669-4e,7dd2e32c-cdb,WALLET,249.87,GROCERY|LUXURY_GOODS|ELECTRONICS,False,2026-03-27,2026-04-25,10,True,VELOCITY_ABUSE
CUST_7B0EE8AA,Harry Davis,jonathanhoward@example.net,+917461364854,2006-02-08,VERIFIED,ACTIVE,0.0565373203883142,452,IN,Bhopal,MP,325772,LOW,8ff0d22b-bdb6-43,9bd1b832-ce6|d15c7a03-969,DEBIT_CARD,1529.67,ELECTRONICS|RESTAURANT|CRYPTO_EXCHANGE,False,2025-02-20,2026-05-13,0,False,
CUST_77EB2A10,Pari Sanghvi,rcole@example.org,+916338444264,1970-07-16,VERIFIED,ACTIVE,0.08321329498064475,1736,IN,Kochi,Kerala,479201,LOW,e675536f-ff30-4f,c6b8be8c-706|fa7c489b-526,WALLET,945.88,CRYPTO_EXCHANGE|EDUCATION|RESTAURANT,False,2021-08-16,2026-05-15,0,False,
CUST_F4790613,Larry Gallagher,bchanda@example.org,+918730243887,1980-02-02,VERIFIED,ACTIVE,0.0,1584,IN,Ahmedabad,Gujarat,270555,LOW,1c18c8bc-3e9a-4a,ce552a8b-205|592bd9b2-d21,DEBIT_CARD,246.95,EDUCATION|ELECTRONICS|HEALTHCARE,False,2022-01-15,2026-05-10,1,False,
CUST_CB842188,Michelle Ruiz,lindahartman@example.org,+918940395823,1999-01-26,VERIFIED,ACTIVE,0.001947836078947346,1248,IN,Bangalore,Karnataka,961722,MEDIUM,61cbe252-4c4e-46,37ca29a4-eef,UPI,7202.77,HEALTHCARE|CRYPTO_EXCHANGE|JEWELRY,False,2022-12-17,2026-05-10,0,False,
CUST_E3F465F0,Aarush Kaur,mdevi@example.com,+917137651678,1972-01-20,PENDING,ACTIVE,0.18314702275700234,1871,IN,Pune,Maharashtra,881177,HIGH,5fafbec6-c3c7-48,f20c9234-75c|788e3e08-03b,WALLET,66232.99,LUXURY_GOODS|EDUCATION|TRAVEL,False,2021-04-03,2026-05-06,6,True,AML_STRUCTURING
CUST_603DFE9A,Neelofar Agrawal,jeremiahhall@example.org,+916656448479,1983-08-21,VERIFIED,ACTIVE,0.013684665770377115,742,IN,Chandigarh,Punjab,166613,ULTRA_HIGH,5abc7b88-3a36-44,3d299b49-483,NETBANKING,54545.61,UTILITY|TRAVEL|MONEY_TRANSFER,False,2024-05-06,2026-05-17,2,False,
CUST_BCC4ACC3,Lavanya Upadhyay,hansh55@example.com,+919301106403,1955-01-08,VERIFIED,ACTIVE,0.0,1989,IN,Jaipur,Rajasthan,216970,HIGH,8a9323d3-0201-43,51826c42-b5a|833786b8-d4c,DEBIT_CARD,13226.07,ENTERTAINMENT|FUEL|MONEY_TRANSFER,False,2020-12-06,2026-04-20,0,False,
CUST_D0B90E53,Akarsh Khatri,kanav99@example.com,+916656439677,1997-05-01,VERIFIED,ACTIVE,0.11534693062794822,1991,IN,Jaipur,Rajasthan,656116,LOW,fa7ccffa-9a16-4d,b2823c89-9bc,UPI,1747.51,HEALTHCARE|MONEY_TRANSFER|GROCERY,False,2020-12-04,2026-05-09,0,False,
CUST_6A06A3F6,Meghan Ramos,cmartinez@example.org,+916367878761,1953-11-27,FAILED,ACTIVE,0.6052200853235347,1800,IN,Kochi,Kerala,955662,HIGH,75859d70-d16a-49,2210e562-fa5,UPI,25605.42,JEWELRY|FUEL|HEALTHCARE,False,2021-06-13,2026-04-30,1,False,
CUST_A0C0E764,Shanaya Sagar,andrew31@example.net,+917713658874,1977-08-18,VERIFIED,UNDER_REVIEW,0.0,543,IN,Kolkata,West Bengal,642717,MEDIUM,ebdf081b-231c-41,83771eae-322|254b9117-976|f6d532df-6e6,NETBANKING,13969.25,ELECTRONICS|TELECOM|FASHION,False,2024-11-21,2026-04-24,1,True,SYNTHETIC_IDENTITY
CUST_6C852CC2,Heather Taylor,charvigade@example.com,+916983297492,1999-04-22,VERIFIED,ACTIVE,0.006591522013435144,44,IN,Lucknow,UP,132938,LOW,2ec5a463-dc36-45,20027f61-86e,DEBIT_CARD,188.44,FUEL|LUXURY_GOODS|ELECTRONICS,False,2026-04-04,2026-04-28,1,False,
CUST_6E1E1EB8,Jacqueline Griffin,jpatel@example.net,+919468173213,1999-04-27,VERIFIED,ACTIVE,0.06083418212594613,439,IN,Jammu,J&K,471507,MEDIUM,ed669c65-05bf-44,6d53439b-38e|d7df196b-930,NETBANKING,8855.07,ENTERTAINMENT|MONEY_TRANSFER|TELECOM,False,2025-03-05,2026-05-11,2,False,
CUST_58286028,Diane Graves,smandal@example.net,+917067970820,1999-07-18,VERIFIED,ACTIVE,0.040967222999493805,1380,IN,Delhi,Delhi,662336,MEDIUM,eb1bb93f-5582-48,f7314a83-532,NETBANKING,11059.1,JEWELRY|CRYPTO_EXCHANGE|FUEL,False,2022-08-07,2026-04-23,1,False,
CUST_4ED64259,Tarini Tank,jivin52@example.org,+918800940984,1981-03-05,PENDING,UNDER_REVIEW,0.3178168556809275,512,IN,Nagpur,Maharashtra,890170,LOW,4b2aaeb6-82bd-46,b9aecdaa-612,CREDIT_CARD,1719.14,ONLINE_GAMING|CRYPTO_EXCHANGE|MONEY_TRANSFER,False,2024-12-22,2026-05-15,1,False,
CUST_09F83C2D,Aayush Tailor,himmatbail@example.net,+917816803306,1996-11-05,VERIFIED,ACTIVE,0.0,1771,IN,Pune,Maharashtra,865990,LOW,7a669757-af03-4b,61741fda-194|2cff759f-e79|b846a401-bf5,WALLET,1971.35,TELECOM|FUEL|ELECTRONICS,False,2021-07-12,2026-05-10,4,True,AML_STRUCTURING
CUST_9BC2D9FE,Advik Varghese,jenniferking@example.org,+918159725924,1987-11-14,VERIFIED,SUSPENDED,0.0,1984,IN,Pune,Maharashtra,632496,MEDIUM,6a867e80-0ae0-4d,5a3d2d69-dc1|385b133a-9a5,UPI,5047.27,ONLINE_GAMING|RESTAURANT|TRAVEL,False,2020-12-11,2026-05-17,0,False,
CUST_5845F054,Bradley Hunt,advik29@example.com,+917800557283,1957-09-26,VERIFIED,ACTIVE,0.0,827,IN,Ahmedabad,Gujarat,692683,HIGH,c8b947fd-e238-48,a43cf41e-928,WALLET,60262.88,HEALTHCARE|FASHION|JEWELRY,False,2024-02-11,2026-04-29,0,False,
CUST_A3644BD8,Mahika Sathe,choijames@example.com,+916040009587,1967-06-10,VERIFIED,ACTIVE,0.21651344317808857,489,IN,Lucknow,UP,176819,LOW,3b42cd0d-a63c-45,590bcd13-174,WALLET,941.59,CRYPTO_EXCHANGE|LUXURY_GOODS|JEWELRY,False,2025-01-14,2026-04-19,0,False,
